Applicant ID,School Name,GPA,Degree,Location,Gender,Veteran status,Work authorization,Disability,Ethnicity,Role 1,Start 1,End 1,Role 2,Start 2,End 2,Role 3,Start 3,End 3,Resume score,Candidate evaluation
20,Harvard University,3.29,Bachelors,Los Angeles,F,1.0,0,N/A,4,Junior SWE,03/02,11/02,N/A,N/A,N/A,N/A,N/A,N/A,3.18,0
21,Louisiana State University (LSU),2.49,PhD,Dallas,N/A,0.0,0,0,4,Teaching Assistant,11/07,03/10,N/A,N/A,N/A,N/A,N/A,N/A,6.73,0
22,University of Connecticut,2.22,Bachelors,Chicago,M,0.0,0,0,3,Research Assistant,04/08,07/08,Lawyer,09/08,05/11,N/A,N/A,N/A,2.12,1
23,Vanderbilt University,3.47,PhD,Phoenix,F,0.0,0,N/A,4,Senior Data Scientist,06/09,12/09,Junior Data Scientist,02/10,03/11,ML Engineer,03/11,10/12,1.46,1
24,Northwestern University,2.99,Bachelors,New York City,F,0.0,1,0,1,Research Assistant,07/01,02/03,Junior SWE,03/03,09/04,Junior Data Scientist,09/04,02/07,2.5,0
25,Iowa State University,2.77,Bachelors,Philadelphia,F,0.0,1,N/A,4,Teaching Assistant,02/08,06/09,ML Engineer,06/09,03/10,Senior SWE,03/10,08/11,6.74,0
26,Vanderbilt University,3.12,Bachelors,Dallas,F,0.0,1,N/A,1,ML Engineer,01/06,07/07,ML Engineer,09/07,01/10,Research Assistant,03/10,06/12,8.04,1
27,University of Chicago,2.52,Bachelors,San Antonio,N/A,0.0,0,0,4,Lawyer,10/02,06/04,Junior Data Scientist,07/04,10/05,N/A,N/A,N/A,0.52,0
28,University of Chicago,2.52,PhD,Philadelphia,M,0.0,0,1,1,Senior SWE,11/03,11/05,Teaching Assistant,12/05,09/06,N/A,N/A,N/A,5.12,1
29,Arizona State University,2.89,PhD,San Diego,M,N/A,1,0,2,ML Engineer,10/01,06/03,Senior Data Scientist,08/03,12/03,Research Assistant,02/04,03/06,3.0,0
30,University of Georgia,3.99,PhD,Chicago,M,1.0,0,1,0,Senior Data Scientist,06/07,01/08,Senior SWE,03/08,04/10,Junior Data Scientist,06/10,01/13,8.89,1
31,Texas A&M University,2.57,Bachelors,Houston,M,0.0,0,1,2,Junior SWE,04/07,05/09,Lawyer,06/09,06/10,ML Engineer,09/10,06/11,7.21,1
32,University of Oklahoma,3.83,Bachelors,San Antonio,N/A,1.0,1,0,4,Research Assistant,06/07,02/09,Junior SWE,04/09,09/10,Senior SWE,11/10,03/12,4.19,0
33,Ohio State University,2.98,Bachelors,New York City,F,1.0,1,0,1,Senior Data Scientist,07/07,02/08,Senior Data Scientist,02/08,12/09,Senior Data Scientist,03/10,05/11,4.59,1
34,University of New Mexico,2.24,Bachelors,San Jose,N/A,0.0,0,N/A,3,Research Assistant,12/01,08/04,Lawyer,10/04,06/05,Junior Data Scientist,08/05,12/06,0.83,0
35,Emory University,3.7,Masters,Chicago,F,0.0,0,1,1,Junior Data Scientist,04/01,12/03,Junior Data Scientist,03/04,02/05,Junior SWE,04/05,04/06,4.26,0
36,University of Massachusetts Amherst,2.9,PhD,Phoenix,F,1.0,1,N/A,3,Senior SWE,12/09,03/11,Lawyer,04/11,10/11,Lawyer,01/12,03/14,8.72,0
37,University of Houston,3.79,Bachelors,Dallas,F,N/A,1,0,2,Senior Data Scientist,03/06,12/06,N/A,N/A,N/A,N/A,N/A,N/A,7.41,0
38,University of Iowa,2.89,Masters,New York City,N/A,0.0,0,N/A,1,Senior Data Scientist,04/02,06/04,Senior SWE,08/04,03/06,Teaching Assistant,05/06,06/08,2.49,0
39,Indiana University Bloomington,2.17,Masters,Dallas,M,0.0,1,N/A,2,Research Assistant,04/01,07/03,Lawyer,07/03,08/05,Senior Data Scientist,10/05,05/07,2.9,1
40,University of Oregon,3.36,Bachelors,New York City,F,N/A,1,1,1,Senior Data Scientist,04/01,08/02,ML Engineer,09/02,09/03,Junior SWE,11/03,06/04,2.3,0
41,University of Delaware,3.69,Masters,Philadelphia,M,N/A,1,1,4,Teaching Assistant,12/03,08/04,Junior SWE,09/04,08/06,Teaching Assistant,10/06,05/09,1.85,1
42,California Institute of Technology (Caltech),2.63,Masters,San Jose,N/A,1.0,1,1,4,Senior SWE,11/09,09/11,ML Engineer,10/11,06/12,Teaching Assistant,07/12,07/14,0.02,0
43,University of Texas at Austin,2.69,Bachelors,Phoenix,N/A,1.0,1,N/A,4,Senior Data Scientist,02/02,06/04,ML Engineer,07/04,09/05,ML Engineer,11/05,01/08,9.53,0
44,Brown University,2.12,Bachelors,Houston,F,1.0,1,1,1,Research Assistant,10/08,11/10,Teaching Assistant,01/11,09/12,Teaching Assistant,11/12,08/13,5.53,0
45,Yale University,3.08,Bachelors,San Diego,M,1.0,0,1,3,Senior SWE,04/02,01/05,ML Engineer,02/05,10/06,Research Assistant,10/06,06/07,0.45,1
46,University of Texas at Austin,3.78,Bachelors,Dallas,F,1.0,1,0,3,Teaching Assistant,02/02,12/03,Research Assistant,01/04,07/05,Lawyer,10/05,03/07,5.82,0
47,University of Chicago,3.7,Bachelors,Chicago,N/A,1.0,1,1,4,Teaching Assistant,06/02,09/03,Junior Data Scientist,11/03,10/04,Senior SWE,11/04,01/06,7.38,0
48,Cornell University,3.42,PhD,New York City,N/A,1.0,1,1,1,Senior SWE,09/04,09/06,N/A,N/A,N/A,N/A,N/A,N/A,8.39,0
49,University of Alabama,3.85,Bachelors,New York City,F,N/A,0,N/A,4,Senior Data Scientist,08/00,10/01,Senior SWE,12/01,04/02,Senior Data Scientist,05/02,03/03,1.88,0
50,Georgetown University,3.27,Masters,Houston,N/A,N/A,0,1,0,ML Engineer,11/06,02/08,ML Engineer,05/08,11/08,Lawyer,01/09,04/09,2.07,0
51,Georgetown University,3.58,Masters,San Jose,F,1.0,1,0,3,Junior SWE,08/06,03/09,Teaching Assistant,05/09,03/11,ML Engineer,04/11,01/14,2.96,0
52,University of Washington,3.01,Masters,San Jose,N/A,N/A,0,1,3,Lawyer,04/04,12/04,Junior Data Scientist,03/05,09/06,Teaching Assistant,09/06,03/08,8.65,0
53,University of Virginia,2.24,Bachelors,New York City,M,N/A,1,N/A,1,ML Engineer,07/04,01/05,Senior SWE,03/05,07/05,ML Engineer,09/05,05/07,8.06,1
54,University of Central Florida,2.4,Masters,San Diego,N/A,N/A,1,0,2,Research Assistant,04/09,11/09,Lawyer,01/10,04/10,Lawyer,06/10,10/12,1.1,0
55,University of Tennessee Knoxville,2.27,Bachelors,Philadelphia,M,N/A,1,1,0,Junior Data Scientist,01/00,08/02,Teaching Assistant,09/02,06/03,Junior Data Scientist,08/03,12/04,2.81,0
56,University of Georgia,3.58,PhD,Los Angeles,N/A,N/A,0,1,1,Junior SWE,07/08,12/10,ML Engineer,12/10,06/13,Lawyer,07/13,12/13,3.78,0
57,Duke University,2.05,Masters,Philadelphia,M,N/A,0,0,1,Teaching Assistant,05/01,02/03,Research Assistant,04/03,11/04,Senior Data Scientist,02/05,03/07,2.47,1
58,University of Oklahoma,3.1,Masters,Chicago,M,1.0,1,1,3,Senior SWE,10/04,04/07,N/A,N/A,N/A,N/A,N/A,N/A,6.52,1
59,Northwestern University,2.73,Bachelors,San Antonio,M,1.0,1,N/A,1,Junior Data Scientist,01/06,05/06,ML Engineer,06/06,10/08,ML Engineer,10/08,09/10,4.17,0
60,Emory University,3.6,Masters,Los Angeles,M,N/A,0,0,4,Senior SWE,06/07,09/08,ML Engineer,10/08,03/11,Teaching Assistant,05/11,03/12,4.63,0
61,University of Hawaii at Manoa,3.1,Bachelors,San Diego,M,N/A,0,N/A,4,Senior SWE,02/03,10/04,Senior SWE,12/04,04/06,Junior SWE,05/06,02/07,5.55,0
62,University of Alabama,3.22,Bachelors,Phoenix,N/A,0.0,1,N/A,3,Senior SWE,12/08,06/10,Teaching Assistant,07/10,05/11,N/A,N/A,N/A,2.51,0
63,University of Arizona,2.17,Bachelors,Los Angeles,N/A,0.0,0,1,4,Junior SWE,06/00,05/02,Junior SWE,07/02,09/04,Research Assistant,11/04,12/05,9.23,0
64,Pennsylvania State University,2.61,PhD,San Antonio,M,0.0,0,0,1,Senior SWE,09/02,06/05,Teaching Assistant,06/05,12/06,Lawyer,02/07,07/09,9.84,0
65,Arizona State University,3.99,PhD,Houston,N/A,0.0,1,N/A,0,Research Assistant,09/03,03/04,Senior Data Scientist,05/04,08/05,Senior SWE,08/05,10/07,1.93,0
66,University of Kentucky,3.43,Bachelors,Phoenix,N/A,0.0,0,N/A,2,Senior Data Scientist,06/00,05/02,Lawyer,05/02,06/04,Senior Data Scientist,07/04,03/07,1.95,0
67,University of Texas at Austin,3.05,Masters,San Antonio,M,0.0,1,0,4,Senior Data Scientist,05/09,05/11,N/A,N/A,N/A,N/A,N/A,N/A,3.49,1
68,Massachusetts Institute of Technology (MIT),3.53,Masters,Dallas,M,N/A,1,N/A,3,Junior Data Scientist,09/01,12/02,Junior Data Scientist,02/03,03/04,Senior Data Scientist,04/04,10/05,3.59,1
69,Rice University,3.64,PhD,Los Angeles,N/A,1.0,0,0,2,Senior SWE,04/02,04/03,N/A,N/A,N/A,N/A,N/A,N/A,6.47,0
70,University of Virginia,2.14,Masters,Los Angeles,F,0.0,1,1,3,Junior SWE,10/05,02/07,Senior SWE,03/07,06/08,Junior Data Scientist,08/08,12/09,6.06,1
71,University of Washington,3.94,Masters,Phoenix,M,1.0,1,N/A,2,Junior SWE,08/07,06/09,N/A,N/A,N/A,N/A,N/A,N/A,8.65,1
72,University of Cincinnati,3.28,PhD,Houston,M,N/A,1,N/A,1,Lawyer,02/08,07/09,Junior Data Scientist,08/09,06/10,Junior SWE,08/10,07/12,9.22,0
73,Purdue University,2.89,PhD,Los Angeles,M,0.0,1,0,3,Junior Data Scientist,08/01,07/03,Senior SWE,10/03,06/04,Teaching Assistant,08/04,01/07,7.65,1
74,Rice University,3.36,Masters,San Jose,M,0.0,0,0,0,Lawyer,03/00,07/01,Junior SWE,07/01,10/02,Lawyer,11/02,04/05,4.69,1
75,University of Tennessee Knoxville,2.68,Masters,Phoenix,N/A,N/A,1,N/A,0,Junior Data Scientist,09/02,03/05,Senior SWE,03/05,12/06,Teaching Assistant,01/07,05/08,1.7,0
76,New York University (NYU),3.75,PhD,Houston,N/A,N/A,1,1,2,Senior Data Scientist,02/09,12/09,Lawyer,12/09,05/11,Junior Data Scientist,07/11,05/13,0.27,0
77,Florida State University,3.56,Masters,Houston,N/A,N/A,1,N/A,4,Junior Data Scientist,11/07,12/08,ML Engineer,01/09,06/11,Research Assistant,07/11,09/13,7.17,0
78,University of Miami,3.27,PhD,San Jose,N/A,0.0,0,1,2,Senior Data Scientist,05/00,02/02,ML Engineer,05/02,12/04,Research Assistant,01/05,05/05,3.86,0
79,University of Virginia,2.36,Masters,Houston,M,N/A,0,N/A,1,Research Assistant,05/05,08/05,Junior SWE,11/05,02/08,N/A,N/A,N/A,7.13,1
80,University of North Carolina at Chapel Hill,3.93,Bachelors,Houston,N/A,1.0,1,1,3,ML Engineer,07/04,02/07,N/A,N/A,N/A,N/A,N/A,N/A,8.34,0
81,University of Arizona,2.86,PhD,San Diego,M,1.0,0,1,2,Junior Data Scientist,06/09,12/09,Junior Data Scientist,02/10,02/12,Lawyer,04/12,06/13,5.12,0
82,University of Virginia,3.82,PhD,Phoenix,F,N/A,0,0,1,Teaching Assistant,12/07,01/09,Junior SWE,04/09,10/10,Lawyer,11/10,07/12,1.38,0
83,University of Utah,2.11,Masters,San Diego,M,N/A,1,1,4,Senior Data Scientist,01/08,03/10,Lawyer,04/10,08/10,Senior SWE,11/10,08/11,9.52,1
84,Rutgers University,2.24,PhD,San Antonio,N/A,1.0,1,0,0,Research Assistant,12/07,04/08,Junior SWE,04/08,05/09,Research Assistant,06/09,01/12,1.32,0
85,New York University (NYU),2.3,PhD,Philadelphia,N/A,0.0,1,0,4,Junior Data Scientist,02/09,05/10,Lawyer,07/10,04/11,Lawyer,06/11,08/13,7.05,0
86,University of Washington,2.32,PhD,Chicago,N/A,0.0,1,1,4,Senior Data Scientist,01/00,02/02,Junior SWE,02/02,09/04,Junior SWE,11/04,09/05,2.06,0
87,University of Hawaii at Manoa,2.64,Masters,San Diego,F,0.0,1,0,4,Teaching Assistant,07/04,03/06,Teaching Assistant,03/06,08/08,N/A,N/A,N/A,2.83,0
88,Georgia Institute of Technology (Georgia Tech),3.41,Bachelors,San Jose,M,0.0,0,0,1,Senior Data Scientist,07/01,06/02,Junior SWE,07/02,07/03,N/A,N/A,N/A,7.94,1
89,University of Chicago,2.69,PhD,Chicago,F,1.0,1,N/A,2,Research Assistant,07/01,04/03,Junior Data Scientist,07/03,03/05,Lawyer,05/05,01/06,6.38,1
90,California Institute of Technology (Caltech),3.88,Bachelors,San Jose,N/A,N/A,1,0,0,Lawyer,12/07,02/10,Senior SWE,04/10,10/10,Senior Data Scientist,12/10,01/12,8.8,0
91,Columbia University,3.78,PhD,Phoenix,M,1.0,0,1,4,Senior Data Scientist,11/02,04/03,Lawyer,06/03,05/05,Junior Data Scientist,07/05,02/08,9.38,0
92,University of Alabama,3.69,PhD,Houston,F,N/A,1,N/A,2,Lawyer,10/08,08/09,Senior SWE,08/09,08/11,ML Engineer,09/11,02/13,2.87,0
93,Louisiana State University (LSU),2.5,PhD,San Diego,M,N/A,1,N/A,0,Junior Data Scientist,07/00,07/01,Lawyer,08/01,12/03,N/A,N/A,N/A,0.33,1
94,Boston University,3.27,Bachelors,San Jose,F,0.0,1,N/A,2,Teaching Assistant,02/08,01/09,Junior Data Scientist,01/09,03/10,Lawyer,03/10,04/11,7.36,1
95,Princeton University,3.1,Masters,Philadelphia,M,0.0,0,N/A,3,Senior SWE,03/07,08/08,Junior Data Scientist,10/08,02/10,N/A,N/A,N/A,9.87,0
96,Emory University,2.25,PhD,Philadelphia,M,N/A,0,1,1,Research Assistant,02/09,01/11,Senior SWE,01/11,11/12,Senior Data Scientist,01/13,12/13,5.12,1
97,University of Hawaii at Manoa,2.6,Masters,San Jose,M,0.0,1,1,2,Junior Data Scientist,07/02,11/04,Teaching Assistant,01/05,01/07,Senior Data Scientist,01/07,03/09,1.02,0
98,Ohio State University,3.06,PhD,Houston,M,N/A,0,1,4,Senior SWE,10/08,09/10,Senior SWE,09/10,12/12,Junior SWE,02/13,10/15,3.56,0
99,University of New Mexico,3.0,Masters,Houston,N/A,0.0,0,N/A,4,Research Assistant,08/04,05/05,Research Assistant,07/05,09/06,Lawyer,11/06,12/07,0.19,0
100,Indiana University Bloomington,2.33,PhD,Chicago,F,1.0,1,0,1,Senior SWE,09/07,09/09,Junior SWE,09/09,01/10,N/A,N/A,N/A,8.82,0
101,Harvard University,3.88,Bachelors,Dallas,N/A,1.0,1,N/A,1,Senior Data Scientist,12/00,07/02,Senior Data Scientist,09/02,05/05,Senior SWE,07/05,01/08,1.35,0
102,University of Oklahoma,2.3,PhD,New York City,M,N/A,0,0,3,Junior Data Scientist,02/09,08/09,Junior Data Scientist,09/09,02/12,Senior SWE,02/12,09/13,4.68,0
103,Pennsylvania State University,3.31,PhD,Dallas,M,N/A,1,1,1,Junior SWE,05/06,10/06,Research Assistant,10/06,05/09,ML Engineer,08/09,09/11,0.36,0
104,Ohio State University,3.44,Bachelors,San Antonio,F,1.0,1,1,0,ML Engineer,11/06,07/08,Senior SWE,09/08,05/11,Junior SWE,06/11,06/13,0.75,0
105,University of Virginia,3.21,Masters,Chicago,N/A,N/A,1,1,1,Senior SWE,03/03,06/05,Teaching Assistant,08/05,09/07,Research Assistant,09/07,07/08,9.39,0
106,University of Alabama,3.68,Masters,Philadelphia,F,1.0,0,0,0,Lawyer,07/02,06/03,Senior Data Scientist,07/03,11/05,N/A,N/A,N/A,9.72,1
107,Columbia University,3.12,Bachelors,Philadelphia,F,0.0,1,0,3,Junior Data Scientist,12/00,01/03,Senior SWE,01/03,11/04,Junior SWE,02/05,06/06,5.79,0
108,University of Florida,3.65,Bachelors,San Jose,F,0.0,0,1,4,Teaching Assistant,10/07,06/10,Junior Data Scientist,07/10,05/12,Teaching Assistant,08/12,02/15,0.22,0
109,University of Miami,2.05,Masters,Los Angeles,N/A,0.0,0,1,2,Junior Data Scientist,12/05,05/08,ML Engineer,07/08,03/10,Junior Data Scientist,04/10,08/11,4.7,0
110,University of Cincinnati,2.09,PhD,New York City,M,N/A,1,0,2,Research Assistant,08/08,02/10,Teaching Assistant,03/10,08/12,Junior Data Scientist,09/12,01/13,1.7,1
111,Purdue University,3.28,PhD,Houston,F,N/A,0,0,2,Junior Data Scientist,03/09,12/09,Lawyer,01/10,12/11,Senior SWE,02/12,08/12,8.86,1
112,University of Virginia,3.15,Masters,Los Angeles,F,1.0,1,N/A,2,Junior Data Scientist,06/00,12/00,Junior Data Scientist,02/01,07/02,N/A,N/A,N/A,3.58,1
113,University of Colorado Boulder,3.3,Masters,Houston,M,0.0,1,0,4,Lawyer,07/03,05/04,Senior Data Scientist,08/04,01/07,Senior Data Scientist,01/07,09/09,1.17,1
114,Duke University,3.53,Masters,Philadelphia,M,0.0,1,0,2,ML Engineer,06/05,01/07,Junior SWE,03/07,10/08,Lawyer,01/09,08/10,8.66,1
115,Florida State University,2.83,Masters,Chicago,M,1.0,1,0,3,Junior SWE,05/05,11/05,ML Engineer,12/05,05/06,Teaching Assistant,06/06,01/09,6.24,1
116,Purdue University,3.27,Bachelors,Dallas,N/A,1.0,1,1,4,Research Assistant,03/09,06/09,Teaching Assistant,07/09,03/10,Lawyer,03/10,05/11,0.67,0
117,Brown University,2.99,Masters,New York City,M,0.0,0,N/A,4,Senior SWE,06/01,06/02,ML Engineer,08/02,04/03,ML Engineer,07/03,03/05,2.46,0
118,University of Alabama,3.25,PhD,Houston,M,0.0,1,N/A,3,Research Assistant,09/06,08/08,N/A,N/A,N/A,N/A,N/A,N/A,1.83,1
119,University of Georgia,2.57,PhD,San Jose,M,N/A,1,N/A,3,ML Engineer,03/06,12/07,N/A,N/A,N/A,N/A,N/A,N/A,3.05,0
120,Northwestern University,3.91,PhD,San Diego,N/A,1.0,0,1,4,Junior Data Scientist,05/03,04/05,N/A,N/A,N/A,N/A,N/A,N/A,1.4,0
121,University of Kentucky,2.96,Masters,San Diego,N/A,1.0,0,0,4,Senior SWE,09/08,11/10,Lawyer,01/11,07/12,Junior SWE,08/12,07/14,6.11,0
122,University of Massachusetts Amherst,3.6,Bachelors,San Diego,F,0.0,0,1,1,Teaching Assistant,07/00,12/00,N/A,N/A,N/A,N/A,N/A,N/A,3.47,1
123,University of South Carolina,3.36,Bachelors,Los Angeles,M,1.0,0,1,1,Lawyer,06/01,07/02,Junior SWE,08/02,08/03,Junior Data Scientist,09/03,12/04,7.06,1
124,Ohio State University,2.59,Masters,Dallas,M,N/A,1,0,4,Senior Data Scientist,12/05,06/08,Teaching Assistant,08/08,11/09,ML Engineer,01/10,04/12,5.13,0
125,Harvard University,2.14,Masters,San Antonio,M,0.0,0,1,4,Teaching Assistant,12/07,08/08,Junior SWE,11/08,03/10,Research Assistant,04/10,09/12,4.33,0
126,Rice University,2.11,Masters,Philadelphia,M,1.0,1,N/A,1,Teaching Assistant,10/05,05/08,N/A,N/A,N/A,N/A,N/A,N/A,6.5,1
127,Stanford University,2.87,Masters,San Jose,F,1.0,0,N/A,1,ML Engineer,10/06,06/07,Teaching Assistant,07/07,11/09,Research Assistant,11/09,02/10,3.96,0
128,University of Central Florida,2.96,Masters,Philadelphia,M,N/A,0,0,4,Research Assistant,11/03,07/05,Research Assistant,09/05,01/08,Senior Data Scientist,01/08,09/10,1.97,1
129,Purdue University,2.4,Masters,Houston,N/A,1.0,0,N/A,0,Teaching Assistant,07/07,12/09,N/A,N/A,N/A,N/A,N/A,N/A,2.19,0
130,University of Houston,3.21,Bachelors,San Diego,F,1.0,0,1,4,Junior SWE,10/02,03/05,Senior SWE,04/05,10/05,Lawyer,11/05,10/07,4.81,1
131,Dartmouth College,2.62,Bachelors,Philadelphia,F,0.0,1,N/A,4,ML Engineer,07/02,02/05,Senior Data Scientist,02/05,04/07,Lawyer,05/07,11/09,4.95,0
132,California Institute of Technology (Caltech),3.43,Bachelors,New York City,M,1.0,1,1,1,Junior SWE,01/05,04/06,Junior SWE,05/06,12/07,Junior SWE,02/08,03/10,5.88,0
133,Purdue University,3.46,Masters,New York City,N/A,1.0,0,N/A,2,Lawyer,05/07,12/08,Senior SWE,03/09,11/10,Senior Data Scientist,11/10,03/12,7.63,0
134,University of Cincinnati,3.72,PhD,San Diego,M,0.0,1,0,0,Junior SWE,06/09,10/09,N/A,N/A,N/A,N/A,N/A,N/A,7.51,0
135,Yale University,3.95,Bachelors,Houston,M,1.0,0,N/A,4,Junior SWE,11/04,06/07,Junior Data Scientist,08/07,01/09,Senior Data Scientist,03/09,12/09,3.36,1
136,University of Minnesota Twin Cities,2.26,PhD,Dallas,N/A,N/A,1,1,3,ML Engineer,03/06,09/08,N/A,N/A,N/A,N/A,N/A,N/A,3.37,0
137,Princeton University,2.74,Bachelors,Phoenix,F,0.0,0,0,2,Junior Data Scientist,07/04,04/06,Senior SWE,04/06,06/07,Teaching Assistant,07/07,05/09,8.71,1
138,University of Missouri,3.12,Bachelors,Dallas,N/A,1.0,1,0,2,Research Assistant,08/07,07/08,N/A,N/A,N/A,N/A,N/A,N/A,8.58,0
139,University of Kentucky,2.63,PhD,Dallas,M,1.0,1,0,1,Teaching Assistant,09/00,05/01,Junior Data Scientist,07/01,03/03,Lawyer,04/03,04/05,9.8,0
140,University of Pennsylvania,2.93,PhD,Chicago,N/A,0.0,0,N/A,4,Research Assistant,10/01,06/04,Senior Data Scientist,06/04,06/06,Senior SWE,08/06,08/07,1.14,0
141,University of Pittsburgh,2.53,PhD,San Antonio,F,0.0,1,1,3,ML Engineer,03/01,05/03,N/A,N/A,N/A,N/A,N/A,N/A,7.39,0
142,University of Massachusetts Amherst,2.49,Bachelors,San Antonio,M,1.0,1,N/A,3,Senior SWE,10/00,09/01,Senior Data Scientist,10/01,01/04,ML Engineer,03/04,04/05,3.71,1
143,University of Virginia,2.19,PhD,New York City,F,N/A,1,0,3,Research Assistant,05/00,11/02,Senior SWE,01/03,10/04,Lawyer,01/05,06/06,5.65,1
144,Purdue University,2.58,Bachelors,San Diego,F,N/A,0,N/A,3,Senior Data Scientist,04/05,10/07,N/A,N/A,N/A,N/A,N/A,N/A,0.13,0
145,Boston University,2.76,Bachelors,Houston,M,1.0,1,0,2,Senior SWE,08/09,08/10,N/A,N/A,N/A,N/A,N/A,N/A,4.09,1
146,University of Washington,3.23,Masters,Houston,M,1.0,0,1,4,Junior SWE,05/00,04/01,Teaching Assistant,06/01,12/01,Junior SWE,02/02,12/03,7.88,1
147,University of Massachusetts Amherst,2.49,PhD,New York City,F,0.0,0,N/A,2,Junior SWE,12/06,08/07,Junior SWE,08/07,02/10,Senior SWE,04/10,08/11,0.48,0
148,University of Oklahoma,3.73,Bachelors,Philadelphia,F,N/A,1,0,2,Lawyer,10/09,03/10,Senior SWE,05/10,02/12,Teaching Assistant,03/12,11/12,8.04,1
149,Carnegie Mellon University,2.31,PhD,Los Angeles,M,0.0,1,1,0,Teaching Assistant,07/05,07/06,Junior Data Scientist,08/06,04/07,Junior SWE,05/07,04/09,8.92,1
150,Dartmouth College,2.65,Bachelors,Philadelphia,N/A,0.0,1,N/A,3,ML Engineer,01/08,06/08,Senior SWE,06/08,08/10,ML Engineer,08/10,07/11,1.75,0
151,University of Hawaii at Manoa,3.15,PhD,Chicago,N/A,N/A,1,0,2,ML Engineer,05/07,10/07,Junior Data Scientist,11/07,12/09,Junior Data Scientist,12/09,01/11,4.44,0
152,University of Tennessee Knoxville,2.62,Masters,New York City,M,0.0,0,1,2,Senior SWE,06/00,12/01,ML Engineer,12/01,07/03,Senior SWE,09/03,01/06,0.09,1
153,University of Florida,3.52,PhD,San Diego,N/A,0.0,0,N/A,4,Senior Data Scientist,02/09,10/11,N/A,N/A,N/A,N/A,N/A,N/A,4.27,0
