Applicant ID,School Name,GPA,Degree,Location,Gender,Veteran status,Work authorization,Disability,Ethnicity,Role 1,Start 1,End 1,Role 2,Start 2,End 2,Role 3,Start 3,End 3
55,University of Tennessee Knoxville,2.27,Bachelors,Philadelphia,M,N/A,1,1,0,Junior Data Scientist,01/00,08/02,Teaching Assistant,09/02,06/03,Junior Data Scientist,08/03,12/04
56,University of Georgia,3.58,PhD,Los Angeles,N/A,N/A,0,1,1,Junior SWE,07/08,12/10,ML Engineer,12/10,06/13,Lawyer,07/13,12/13
57,Duke University,2.05,Masters,Philadelphia,M,N/A,0,0,1,Teaching Assistant,05/01,02/03,Research Assistant,04/03,11/04,Senior Data Scientist,02/05,03/07
58,University of Oklahoma,3.1,Masters,Chicago,M,1.0,1,1,3,Senior SWE,10/04,04/07,N/A,N/A,N/A,N/A,N/A,N/A
59,Northwestern University,2.73,Bachelors,San Antonio,M,1.0,1,N/A,1,Junior Data Scientist,01/06,05/06,ML Engineer,06/06,10/08,ML Engineer,10/08,09/10
60,Emory University,3.6,Masters,Los Angeles,M,N/A,0,0,4,Senior SWE,06/07,09/08,ML Engineer,10/08,03/11,Teaching Assistant,05/11,03/12
61,University of Hawaii at Manoa,3.1,Bachelors,San Diego,M,N/A,0,N/A,4,Senior SWE,02/03,10/04,Senior SWE,12/04,04/06,Junior SWE,05/06,02/07
62,University of Alabama,3.22,Bachelors,Phoenix,N/A,0.0,1,N/A,3,Senior SWE,12/08,06/10,Teaching Assistant,07/10,05/11,N/A,N/A,N/A
63,University of Arizona,2.17,Bachelors,Los Angeles,N/A,0.0,0,1,4,Junior SWE,06/00,05/02,Junior SWE,07/02,09/04,Research Assistant,11/04,12/05
64,Pennsylvania State University,2.61,PhD,San Antonio,M,0.0,0,0,1,Senior SWE,09/02,06/05,Teaching Assistant,06/05,12/06,Lawyer,02/07,07/09
65,Arizona State University,3.99,PhD,Houston,N/A,0.0,1,N/A,0,Research Assistant,09/03,03/04,Senior Data Scientist,05/04,08/05,Senior SWE,08/05,10/07
66,University of Kentucky,3.43,Bachelors,Phoenix,N/A,0.0,0,N/A,2,Senior Data Scientist,06/00,05/02,Lawyer,05/02,06/04,Senior Data Scientist,07/04,03/07
67,University of Texas at Austin,3.05,Masters,San Antonio,M,0.0,1,0,4,Senior Data Scientist,05/09,05/11,N/A,N/A,N/A,N/A,N/A,N/A
68,Massachusetts Institute of Technology (MIT),3.53,Masters,Dallas,M,N/A,1,N/A,3,Junior Data Scientist,09/01,12/02,Junior Data Scientist,02/03,03/04,Senior Data Scientist,04/04,10/05
69,Rice University,3.64,PhD,Los Angeles,N/A,1.0,0,0,2,Senior SWE,04/02,04/03,N/A,N/A,N/A,N/A,N/A,N/A
70,University of Virginia,2.14,Masters,Los Angeles,F,0.0,1,1,3,Junior SWE,10/05,02/07,Senior SWE,03/07,06/08,Junior Data Scientist,08/08,12/09
71,University of Washington,3.94,Masters,Phoenix,M,1.0,1,N/A,2,Junior SWE,08/07,06/09,N/A,N/A,N/A,N/A,N/A,N/A
72,University of Cincinnati,3.28,PhD,Houston,M,N/A,1,N/A,1,Lawyer,02/08,07/09,Junior Data Scientist,08/09,06/10,Junior SWE,08/10,07/12
73,Purdue University,2.89,PhD,Los Angeles,M,0.0,1,0,3,Junior Data Scientist,08/01,07/03,Senior SWE,10/03,06/04,Teaching Assistant,08/04,01/07
74,Rice University,3.36,Masters,San Jose,M,0.0,0,0,0,Lawyer,03/00,07/01,Junior SWE,07/01,10/02,Lawyer,11/02,04/05
75,University of Tennessee Knoxville,2.68,Masters,Phoenix,N/A,N/A,1,N/A,0,Junior Data Scientist,09/02,03/05,Senior SWE,03/05,12/06,Teaching Assistant,01/07,05/08
76,New York University (NYU),3.75,PhD,Houston,N/A,N/A,1,1,2,Senior Data Scientist,02/09,12/09,Lawyer,12/09,05/11,Junior Data Scientist,07/11,05/13
77,Florida State University,3.56,Masters,Houston,N/A,N/A,1,N/A,4,Junior Data Scientist,11/07,12/08,ML Engineer,01/09,06/11,Research Assistant,07/11,09/13
78,University of Miami,3.27,PhD,San Jose,N/A,0.0,0,1,2,Senior Data Scientist,05/00,02/02,ML Engineer,05/02,12/04,Research Assistant,01/05,05/05
79,University of Virginia,2.36,Masters,Houston,M,N/A,0,N/A,1,Research Assistant,05/05,08/05,Junior SWE,11/05,02/08,N/A,N/A,N/A
80,University of North Carolina at Chapel Hill,3.93,Bachelors,Houston,N/A,1.0,1,1,3,ML Engineer,07/04,02/07,N/A,N/A,N/A,N/A,N/A,N/A
81,University of Arizona,2.86,PhD,San Diego,M,1.0,0,1,2,Junior Data Scientist,06/09,12/09,Junior Data Scientist,02/10,02/12,Lawyer,04/12,06/13
82,University of Virginia,3.82,PhD,Phoenix,F,N/A,0,0,1,Teaching Assistant,12/07,01/09,Junior SWE,04/09,10/10,Lawyer,11/10,07/12
83,University of Utah,2.11,Masters,San Diego,M,N/A,1,1,4,Senior Data Scientist,01/08,03/10,Lawyer,04/10,08/10,Senior SWE,11/10,08/11
84,Rutgers University,2.24,PhD,San Antonio,N/A,1.0,1,0,0,Research Assistant,12/07,04/08,Junior SWE,04/08,05/09,Research Assistant,06/09,01/12
85,New York University (NYU),2.3,PhD,Philadelphia,N/A,0.0,1,0,4,Junior Data Scientist,02/09,05/10,Lawyer,07/10,04/11,Lawyer,06/11,08/13
86,University of Washington,2.32,PhD,Chicago,N/A,0.0,1,1,4,Senior Data Scientist,01/00,02/02,Junior SWE,02/02,09/04,Junior SWE,11/04,09/05
87,University of Hawaii at Manoa,2.64,Masters,San Diego,F,0.0,1,0,4,Teaching Assistant,07/04,03/06,Teaching Assistant,03/06,08/08,N/A,N/A,N/A
88,Georgia Institute of Technology (Georgia Tech),3.41,Bachelors,San Jose,M,0.0,0,0,1,Senior Data Scientist,07/01,06/02,Junior SWE,07/02,07/03,N/A,N/A,N/A
89,University of Chicago,2.69,PhD,Chicago,F,1.0,1,N/A,2,Research Assistant,07/01,04/03,Junior Data Scientist,07/03,03/05,Lawyer,05/05,01/06
90,California Institute of Technology (Caltech),3.88,Bachelors,San Jose,N/A,N/A,1,0,0,Lawyer,12/07,02/10,Senior SWE,04/10,10/10,Senior Data Scientist,12/10,01/12
91,Columbia University,3.78,PhD,Phoenix,M,1.0,0,1,4,Senior Data Scientist,11/02,04/03,Lawyer,06/03,05/05,Junior Data Scientist,07/05,02/08
92,University of Alabama,3.69,PhD,Houston,F,N/A,1,N/A,2,Lawyer,10/08,08/09,Senior SWE,08/09,08/11,ML Engineer,09/11,02/13
93,Louisiana State University (LSU),2.5,PhD,San Diego,M,N/A,1,N/A,0,Junior Data Scientist,07/00,07/01,Lawyer,08/01,12/03,N/A,N/A,N/A
94,Boston University,3.27,Bachelors,San Jose,F,0.0,1,N/A,2,Teaching Assistant,02/08,01/09,Junior Data Scientist,01/09,03/10,Lawyer,03/10,04/11
95,Princeton University,3.1,Masters,Philadelphia,M,0.0,0,N/A,3,Senior SWE,03/07,08/08,Junior Data Scientist,10/08,02/10,N/A,N/A,N/A
96,Emory University,2.25,PhD,Philadelphia,M,N/A,0,1,1,Research Assistant,02/09,01/11,Senior SWE,01/11,11/12,Senior Data Scientist,01/13,12/13
97,University of Hawaii at Manoa,2.6,Masters,San Jose,M,0.0,1,1,2,Junior Data Scientist,07/02,11/04,Teaching Assistant,01/05,01/07,Senior Data Scientist,01/07,03/09
98,Ohio State University,3.06,PhD,Houston,M,N/A,0,1,4,Senior SWE,10/08,09/10,Senior SWE,09/10,12/12,Junior SWE,02/13,10/15
99,University of New Mexico,3.0,Masters,Houston,N/A,0.0,0,N/A,4,Research Assistant,08/04,05/05,Research Assistant,07/05,09/06,Lawyer,11/06,12/07
100,Indiana University Bloomington,2.33,PhD,Chicago,F,1.0,1,0,1,Senior SWE,09/07,09/09,Junior SWE,09/09,01/10,N/A,N/A,N/A
101,Harvard University,3.88,Bachelors,Dallas,N/A,1.0,1,N/A,1,Senior Data Scientist,12/00,07/02,Senior Data Scientist,09/02,05/05,Senior SWE,07/05,01/08
102,University of Oklahoma,2.3,PhD,New York City,M,N/A,0,0,3,Junior Data Scientist,02/09,08/09,Junior Data Scientist,09/09,02/12,Senior SWE,02/12,09/13
103,Pennsylvania State University,3.31,PhD,Dallas,M,N/A,1,1,1,Junior SWE,05/06,10/06,Research Assistant,10/06,05/09,ML Engineer,08/09,09/11
104,Ohio State University,3.44,Bachelors,San Antonio,F,1.0,1,1,0,ML Engineer,11/06,07/08,Senior SWE,09/08,05/11,Junior SWE,06/11,06/13
105,University of Virginia,3.21,Masters,Chicago,N/A,N/A,1,1,1,Senior SWE,03/03,06/05,Teaching Assistant,08/05,09/07,Research Assistant,09/07,07/08
106,University of Alabama,3.68,Masters,Philadelphia,F,1.0,0,0,0,Lawyer,07/02,06/03,Senior Data Scientist,07/03,11/05,N/A,N/A,N/A
107,Columbia University,3.12,Bachelors,Philadelphia,F,0.0,1,0,3,Junior Data Scientist,12/00,01/03,Senior SWE,01/03,11/04,Junior SWE,02/05,06/06
108,University of Florida,3.65,Bachelors,San Jose,F,0.0,0,1,4,Teaching Assistant,10/07,06/10,Junior Data Scientist,07/10,05/12,Teaching Assistant,08/12,02/15
109,University of Miami,2.05,Masters,Los Angeles,N/A,0.0,0,1,2,Junior Data Scientist,12/05,05/08,ML Engineer,07/08,03/10,Junior Data Scientist,04/10,08/11
110,University of Cincinnati,2.09,PhD,New York City,M,N/A,1,0,2,Research Assistant,08/08,02/10,Teaching Assistant,03/10,08/12,Junior Data Scientist,09/12,01/13
111,Purdue University,3.28,PhD,Houston,F,N/A,0,0,2,Junior Data Scientist,03/09,12/09,Lawyer,01/10,12/11,Senior SWE,02/12,08/12
112,University of Virginia,3.15,Masters,Los Angeles,F,1.0,1,N/A,2,Junior Data Scientist,06/00,12/00,Junior Data Scientist,02/01,07/02,N/A,N/A,N/A
113,University of Colorado Boulder,3.3,Masters,Houston,M,0.0,1,0,4,Lawyer,07/03,05/04,Senior Data Scientist,08/04,01/07,Senior Data Scientist,01/07,09/09
114,Duke University,3.53,Masters,Philadelphia,M,0.0,1,0,2,ML Engineer,06/05,01/07,Junior SWE,03/07,10/08,Lawyer,01/09,08/10
115,Florida State University,2.83,Masters,Chicago,M,1.0,1,0,3,Junior SWE,05/05,11/05,ML Engineer,12/05,05/06,Teaching Assistant,06/06,01/09
116,Purdue University,3.27,Bachelors,Dallas,N/A,1.0,1,1,4,Research Assistant,03/09,06/09,Teaching Assistant,07/09,03/10,Lawyer,03/10,05/11
117,Brown University,2.99,Masters,New York City,M,0.0,0,N/A,4,Senior SWE,06/01,06/02,ML Engineer,08/02,04/03,ML Engineer,07/03,03/05
118,University of Alabama,3.25,PhD,Houston,M,0.0,1,N/A,3,Research Assistant,09/06,08/08,N/A,N/A,N/A,N/A,N/A,N/A
119,University of Georgia,2.57,PhD,San Jose,M,N/A,1,N/A,3,ML Engineer,03/06,12/07,N/A,N/A,N/A,N/A,N/A,N/A
120,Northwestern University,3.91,PhD,San Diego,N/A,1.0,0,1,4,Junior Data Scientist,05/03,04/05,N/A,N/A,N/A,N/A,N/A,N/A
121,University of Kentucky,2.96,Masters,San Diego,N/A,1.0,0,0,4,Senior SWE,09/08,11/10,Lawyer,01/11,07/12,Junior SWE,08/12,07/14
122,University of Massachusetts Amherst,3.6,Bachelors,San Diego,F,0.0,0,1,1,Teaching Assistant,07/00,12/00,N/A,N/A,N/A,N/A,N/A,N/A
123,University of South Carolina,3.36,Bachelors,Los Angeles,M,1.0,0,1,1,Lawyer,06/01,07/02,Junior SWE,08/02,08/03,Junior Data Scientist,09/03,12/04
124,Ohio State University,2.59,Masters,Dallas,M,N/A,1,0,4,Senior Data Scientist,12/05,06/08,Teaching Assistant,08/08,11/09,ML Engineer,01/10,04/12
125,Harvard University,2.14,Masters,San Antonio,M,0.0,0,1,4,Teaching Assistant,12/07,08/08,Junior SWE,11/08,03/10,Research Assistant,04/10,09/12
126,Rice University,2.11,Masters,Philadelphia,M,1.0,1,N/A,1,Teaching Assistant,10/05,05/08,N/A,N/A,N/A,N/A,N/A,N/A
127,Stanford University,2.87,Masters,San Jose,F,1.0,0,N/A,1,ML Engineer,10/06,06/07,Teaching Assistant,07/07,11/09,Research Assistant,11/09,02/10
128,University of Central Florida,2.96,Masters,Philadelphia,M,N/A,0,0,4,Research Assistant,11/03,07/05,Research Assistant,09/05,01/08,Senior Data Scientist,01/08,09/10
129,Purdue University,2.4,Masters,Houston,N/A,1.0,0,N/A,0,Teaching Assistant,07/07,12/09,N/A,N/A,N/A,N/A,N/A,N/A
130,University of Houston,3.21,Bachelors,San Diego,F,1.0,0,1,4,Junior SWE,10/02,03/05,Senior SWE,04/05,10/05,Lawyer,11/05,10/07
131,Dartmouth College,2.62,Bachelors,Philadelphia,F,0.0,1,N/A,4,ML Engineer,07/02,02/05,Senior Data Scientist,02/05,04/07,Lawyer,05/07,11/09
132,California Institute of Technology (Caltech),3.43,Bachelors,New York City,M,1.0,1,1,1,Junior SWE,01/05,04/06,Junior SWE,05/06,12/07,Junior SWE,02/08,03/10
133,Purdue University,3.46,Masters,New York City,N/A,1.0,0,N/A,2,Lawyer,05/07,12/08,Senior SWE,03/09,11/10,Senior Data Scientist,11/10,03/12
134,University of Cincinnati,3.72,PhD,San Diego,M,0.0,1,0,0,Junior SWE,06/09,10/09,N/A,N/A,N/A,N/A,N/A,N/A
135,Yale University,3.95,Bachelors,Houston,M,1.0,0,N/A,4,Junior SWE,11/04,06/07,Junior Data Scientist,08/07,01/09,Senior Data Scientist,03/09,12/09
136,University of Minnesota Twin Cities,2.26,PhD,Dallas,N/A,N/A,1,1,3,ML Engineer,03/06,09/08,N/A,N/A,N/A,N/A,N/A,N/A
137,Princeton University,2.74,Bachelors,Phoenix,F,0.0,0,0,2,Junior Data Scientist,07/04,04/06,Senior SWE,04/06,06/07,Teaching Assistant,07/07,05/09
138,University of Missouri,3.12,Bachelors,Dallas,N/A,1.0,1,0,2,Research Assistant,08/07,07/08,N/A,N/A,N/A,N/A,N/A,N/A
139,University of Kentucky,2.63,PhD,Dallas,M,1.0,1,0,1,Teaching Assistant,09/00,05/01,Junior Data Scientist,07/01,03/03,Lawyer,04/03,04/05
140,University of Pennsylvania,2.93,PhD,Chicago,N/A,0.0,0,N/A,4,Research Assistant,10/01,06/04,Senior Data Scientist,06/04,06/06,Senior SWE,08/06,08/07
141,University of Pittsburgh,2.53,PhD,San Antonio,F,0.0,1,1,3,ML Engineer,03/01,05/03,N/A,N/A,N/A,N/A,N/A,N/A
142,University of Massachusetts Amherst,2.49,Bachelors,San Antonio,M,1.0,1,N/A,3,Senior SWE,10/00,09/01,Senior Data Scientist,10/01,01/04,ML Engineer,03/04,04/05
143,University of Virginia,2.19,PhD,New York City,F,N/A,1,0,3,Research Assistant,05/00,11/02,Senior SWE,01/03,10/04,Lawyer,01/05,06/06
144,Purdue University,2.58,Bachelors,San Diego,F,N/A,0,N/A,3,Senior Data Scientist,04/05,10/07,N/A,N/A,N/A,N/A,N/A,N/A
145,Boston University,2.76,Bachelors,Houston,M,1.0,1,0,2,Senior SWE,08/09,08/10,N/A,N/A,N/A,N/A,N/A,N/A
146,University of Washington,3.23,Masters,Houston,M,1.0,0,1,4,Junior SWE,05/00,04/01,Teaching Assistant,06/01,12/01,Junior SWE,02/02,12/03
147,University of Massachusetts Amherst,2.49,PhD,New York City,F,0.0,0,N/A,2,Junior SWE,12/06,08/07,Junior SWE,08/07,02/10,Senior SWE,04/10,08/11
148,University of Oklahoma,3.73,Bachelors,Philadelphia,F,N/A,1,0,2,Lawyer,10/09,03/10,Senior SWE,05/10,02/12,Teaching Assistant,03/12,11/12
149,Carnegie Mellon University,2.31,PhD,Los Angeles,M,0.0,1,1,0,Teaching Assistant,07/05,07/06,Junior Data Scientist,08/06,04/07,Junior SWE,05/07,04/09
150,Dartmouth College,2.65,Bachelors,Philadelphia,N/A,0.0,1,N/A,3,ML Engineer,01/08,06/08,Senior SWE,06/08,08/10,ML Engineer,08/10,07/11
151,University of Hawaii at Manoa,3.15,PhD,Chicago,N/A,N/A,1,0,2,ML Engineer,05/07,10/07,Junior Data Scientist,11/07,12/09,Junior Data Scientist,12/09,01/11
152,University of Tennessee Knoxville,2.62,Masters,New York City,M,0.0,0,1,2,Senior SWE,06/00,12/01,ML Engineer,12/01,07/03,Senior SWE,09/03,01/06
153,University of Florida,3.52,PhD,San Diego,N/A,0.0,0,N/A,4,Senior Data Scientist,02/09,10/11,N/A,N/A,N/A,N/A,N/A,N/A
154,Georgia Institute of Technology (Georgia Tech),2.99,Bachelors,Houston,F,N/A,0,N/A,0,ML Engineer,10/09,04/10,Research Assistant,05/10,04/12,ML Engineer,04/12,03/13
155,University of Pennsylvania,3.02,Masters,Phoenix,F,1.0,0,N/A,2,ML Engineer,09/00,01/03,Senior Data Scientist,03/03,09/04,N/A,N/A,N/A
156,University of Texas at Austin,2.99,Masters,Philadelphia,N/A,1.0,1,N/A,2,Senior SWE,07/08,02/11,Senior Data Scientist,04/11,08/12,N/A,N/A,N/A
157,Vanderbilt University,2.61,Bachelors,Philadelphia,M,1.0,0,1,0,Teaching Assistant,08/08,02/09,N/A,N/A,N/A,N/A,N/A,N/A
158,University of Utah,2.04,Bachelors,Chicago,N/A,1.0,1,1,1,Senior SWE,11/04,05/07,Junior Data Scientist,08/07,10/08,Junior Data Scientist,11/08,03/09
159,University of Texas at Austin,3.89,PhD,Chicago,N/A,0.0,0,0,4,Lawyer,11/06,02/08,Senior SWE,03/08,03/09,Junior SWE,05/09,01/11
160,University of Washington,3.01,PhD,Houston,M,N/A,1,1,0,Junior SWE,12/07,05/08,Senior Data Scientist,08/08,02/11,Junior SWE,03/11,04/12
161,Princeton University,3.93,PhD,Los Angeles,N/A,0.0,0,N/A,3,Junior SWE,04/09,06/11,N/A,N/A,N/A,N/A,N/A,N/A
162,University of Alabama,2.43,PhD,New York City,F,N/A,0,1,0,Teaching Assistant,11/05,05/06,Senior Data Scientist,05/06,07/07,Junior Data Scientist,09/07,04/08
163,University of Texas at Austin,2.7,PhD,Philadelphia,M,N/A,0,N/A,3,Senior SWE,07/03,07/05,Research Assistant,09/05,09/06,N/A,N/A,N/A
164,Rutgers University,2.1,Masters,New York City,N/A,0.0,1,0,2,Junior SWE,10/05,04/06,Lawyer,05/06,02/08,Teaching Assistant,03/08,01/09
165,Indiana University Bloomington,2.98,Bachelors,Houston,F,0.0,1,0,4,Junior Data Scientist,02/06,08/07,Teaching Assistant,11/07,09/09,Junior Data Scientist,11/09,07/12
