applicant_id,score
"230","0.06"
"231","6.43"
"232","2.26"
"233","8.21"
"234","0.45"
"235","7.62"
"236","4.98"
"237","5.16"
"238","6.79"
"239","9.09"
"240","9.83"
"241","0.47"
"242","8.48"
"243","1.72"
"244","2.13"
"245","9.38"
"246","7.88"
"247","8.42"
"248","10.0"
"249","5.76"
"250","5.96"
"251","4.09"
"252","7.97"
"253","0.19"
"254","6.44"
"255","0.74"
"256","8.49"
"257","9.48"
"258","7.41"
"259","8.3"
"260","5.12"
"261","0.74"
"262","3.5"
"263","3.6"
"264","0.38"
"265","3.5"
"266","8.68"
"267","0.25"
"268","8.34"
"269","9.67"
"270","6.5"
"271","8.62"
"272","6.59"
"273","2.35"
"274","4.23"
"275","2.66"
"276","6.19"
"277","9.8"
"278","8.88"
"279","8.76"
"280","6.3"
"281","8.08"
"282","1.1"
"283","9.68"
"284","1.29"
"285","7.79"
"286","5.14"
"287","9.01"
"288","2.49"
"289","7.78"
"290","3.81"
"291","8.43"
"292","1.23"
"293","7.72"
"294","0.39"
"295","4.47"
"296","8.96"
"297","5.57"
"298","1.48"
"299","2.72"
"300","7.66"
"301","3.27"
"302","2.21"
"303","2.74"
"304","3.1"
"305","0.63"
"306","9.24"
"307","5.39"
"308","4.25"
"309","3.44"
"310","2.18"
"311","6.42"
"312","7.66"
"313","1.86"
"314","8.26"
"315","4.15"
"316","3.63"
"317","1.88"
"318","4.1"
"319","7.55"
"320","0.81"
"321","0.68"
"322","7.8"
"323","5.94"
"324","6.81"
"325","9.4"
"326","7.06"
"327","2.99"
"328","8.9"
"329","4.24"
"330","9.33"
"331","9.99"
"332","3.06"
"333","1.3"
"334","8.47"
"335","2.06"
"336","3.56"
"337","3.39"
"338","7.5"
"339","9.14"
"340","1.95"
"341","4.64"
"342","3.94"
"343","3.24"
"344","9.52"
"345","5.37"
"346","8.43"
"347","9.43"
"348","9.05"
"349","8.44"
"350","1.58"
"351","1.76"
"352","8.76"
"353","3.68"
"354","2.89"
"355","3.32"
"356","6.62"
"357","2.22"
"358","5.61"
"359","9.21"
"360","8.75"
"361","2.12"
"362","6.5"
"363","8.02"
"364","6.08"
"365","5.54"
"366","7.63"
"367","6.93"
"368","8.9"
"369","6.55"
"370","1.97"
"371","8.46"
"372","2.28"
"373","9.74"
"374","0.82"
"375","7.87"
"376","3.33"
"377","2.31"
"378","9.86"
"379","6.17"
"380","3.14"
"381","7.04"
"382","6.19"
"383","9.62"
"384","2.76"
"385","0.32"
"386","7.82"
"387","2.51"
"388","3.47"
"389","6.01"
"390","3.97"
"391","3.96"
"392","7.3"
"393","7.92"
"394","2.27"
"395","2.5"
"396","4.49"
"397","0.32"
"398","0.71"
"399","4.91"
"400","8.93"
"401","9.42"
"402","6.68"
"403","1.41"
"404","7.0"
"405","5.8"
"406","7.27"
"407","9.82"
"408","0.55"
"409","4.33"
"410","5.25"
"411","7.44"
"412","9.23"
"413","4.97"
"414","0.55"
"415","9.06"
"416","0.41"
"417","1.77"
"418","8.73"
"419","3.93"
"420","7.85"
"421","8.35"
"422","5.36"
"423","5.63"
"424","4.65"
"425","2.6"
"426","3.76"
"427","8.34"
"428","7.88"
"429","8.35"
"430","0.19"
"431","3.35"
"432","8.11"
"433","2.59"
"434","0.62"
"435","7.6"
"436","5.45"
"437","3.76"
"438","0.76"
"439","9.89"
"440","2.82"
"441","6.24"
"442","8.44"
"443","0.48"
"444","9.44"
"445","7.93"
"446","0.32"
"447","3.48"
"448","9.36"
"449","8.82"
"450","5.26"
"451","9.59"
"452","1.34"
"453","1.27"
"454","6.49"
"455","1.72"
"456","2.58"
"457","4.16"
"458","0.89"
"459","3.68"
"460","3.47"
"461","4.75"
"462","7.02"
"463","3.44"
"464","3.94"
"465","2.96"
"466","9.12"
"467","3.34"
"468","5.55"
"469","8.84"
"470","9.26"
"471","9.58"
"472","7.9"
"473","8.07"
"474","0.44"
"475","6.27"
"476","7.67"
"477","7.21"
"478","4.89"
"479","8.49"
"480","7.48"
"481","2.35"
"482","5.86"
"483","4.96"
"484","3.12"
"485","1.34"
"486","9.18"
"487","4.94"
"488","0.1"
"489","6.13"
"490","4.81"
"491","3.32"
"492","4.26"
"493","9.27"
"494","5.31"
"495","7.26"
"496","4.53"
"497","2.69"
"498","1.64"
"499","3.86"
"500","3.37"
"501","3.06"
"502","5.58"
"503","7.85"
"504","9.92"
"505","5.53"
"506","3.94"
"507","0.5"
"508","4.82"
"509","3.75"
"510","0.12"
"511","0.35"
"512","1.54"
"513","6.72"
"514","9.48"
"515","7.99"
"516","7.1"
"517","6.82"
"518","5.94"
"519","0.06"
"520","7.36"
"521","1.56"
"522","7.23"
"523","9.99"
"524","8.47"
"525","0.34"
"526","6.48"
"527","0.36"
"528","6.16"
"529","3.88"
"530","7.57"
"531","0.74"
"532","7.71"
"533","9.09"
"534","1.98"
"535","2.06"
"536","8.81"
"537","0.12"
"538","7.5"
"539","6.41"
"540","9.68"
"541","5.73"
"542","6.55"
"543","8.93"
"544","4.51"
"545","3.33"
"546","4.3"
"547","0.44"
"548","8.27"
"549","1.85"
"550","3.63"
"551","5.49"
"552","7.68"
"553","0.46"
"554","0.93"
"555","0.46"
"556","7.38"
"557","6.97"
"558","4.03"
"559","9.58"
"560","5.44"
"561","2.43"
"562","4.62"
"563","7.46"
"564","7.74"
"565","7.28"
"566","5.33"
"567","8.75"
"568","4.09"
"569","4.2"
"570","1.65"
"571","2.25"
"572","1.69"
"573","8.03"
"574","5.41"
"575","9.53"
"576","8.99"
"577","3.36"
"578","6.24"
"579","6.76"
"580","5.83"
"581","4.41"
"582","6.46"
"583","1.24"
"584","6.62"
"585","1.22"
"586","5.04"
"587","0.1"
"588","8.97"
"589","5.4"
"590","4.69"
"591","1.26"
"592","8.42"
"593","4.66"
"594","9.02"
"595","1.81"
"596","0.38"
"597","0.5"
"598","3.87"
"599","3.66"
"600","4.97"
"601","7.3"
"602","1.64"
"603","6.08"
"604","9.73"
"605","6.02"
"606","2.29"
"607","4.26"
"608","9.53"
"609","0.93"
"610","0.19"
"611","1.78"
"612","4.56"
"613","2.78"
"614","6.71"
"615","7.75"
"616","6.8"
"617","2.31"
"618","3.15"
"619","2.02"
"620","5.06"
"621","1.32"
"622","5.44"
"623","5.99"
"624","9.36"
"625","4.85"
"626","3.74"
"627","7.49"
"628","3.15"
"629","2.0"
"630","8.77"
"631","7.59"
"632","8.22"
"633","1.7"
"634","8.59"
"635","0.22"
"636","3.25"
"637","2.99"
"638","0.43"
"639","5.36"
"640","5.56"
"641","7.3"
"642","6.71"
"643","6.52"
"644","9.64"
"645","0.23"
"646","4.69"
"647","0.12"
"648","0.73"
"649","0.22"
"650","8.17"
"651","4.22"
"652","8.83"
"653","1.01"
"654","0.12"
"655","5.1"
"656","0.23"
"657","7.11"
"658","8.12"
"659","1.78"
"660","5.93"
"661","8.68"
"662","9.34"
"663","1.01"
"664","5.14"
"665","3.53"
"666","9.84"
"667","6.13"
"668","4.15"
"669","1.71"
"670","7.96"
"671","7.03"
"672","5.95"
"673","7.73"
"674","8.6"
"675","4.89"
"676","6.43"
"677","6.46"
"678","0.73"
"679","7.35"
"680","7.89"
"681","7.28"
"682","4.29"
"683","1.89"
"684","0.27"
"685","6.29"
"686","1.25"
"687","6.17"
"688","9.32"
"689","8.13"
"690","6.11"
"691","3.52"
"692","8.47"
"693","0.9"
"694","1.82"
"695","7.92"
"696","3.13"
"697","0.69"
"698","0.91"
"699","6.02"
"700","3.3"
"701","2.48"
"702","1.66"
"703","9.55"
"704","3.75"
"705","6.73"
"706","9.85"
"707","6.77"
"708","6.92"
"709","2.06"
"710","3.98"
"711","9.15"
"712","5.85"
"713","6.59"
"714","2.84"
"715","1.45"
"716","6.8"
"717","0.58"
"718","8.12"
"719","9.37"
"720","9.48"
"721","1.69"
"722","7.95"
"723","5.25"
"724","3.03"
"725","8.87"
"726","6.52"
"727","7.08"
"728","8.48"
"729","6.22"
"730","2.17"
"731","1.15"
"732","8.62"
"733","9.15"
"734","8.41"
"735","4.05"
"736","8.32"
"737","0.1"
"738","7.85"
"739","9.71"
"740","2.34"
"741","5.42"
"742","7.09"
"743","1.33"
"744","3.18"
"745","2.08"
"746","6.42"
"747","8.12"
"748","4.7"
"749","1.4"
"750","6.33"
"751","4.84"
"752","0.72"
"753","3.75"
"754","5.53"
"755","8.47"
"756","5.16"
"757","2.52"
"758","8.47"
"759","6.8"
"760","2.51"
"761","4.42"
"762","2.58"
"763","8.32"
"764","7.08"
"765","5.02"
"766","4.77"
"767","5.96"
"768","8.44"
"769","0.64"
"770","8.09"
"771","9.28"
"772","6.79"
"773","3.75"
"774","7.11"
"775","0.43"
"776","0.8"
"777","5.22"
"778","2.11"
"779","9.39"
"780","8.25"
"781","4.03"
"782","3.79"
"783","8.72"
"784","4.23"
"785","0.43"
"786","4.98"
"787","1.01"
"788","3.98"
"789","5.61"
"790","9.26"
"791","0.04"
"792","4.93"
"793","6.96"
"794","5.86"
"795","5.28"
"796","2.14"
"797","5.56"
"798","8.68"
"799","2.24"
"800","0.53"
"801","1.14"
"802","7.68"
"803","6.36"
"804","1.15"
"805","9.09"
"806","3.99"
"807","7.76"
"808","1.18"
"809","8.72"
"810","6.84"
"811","0.73"
"812","6.61"
"813","8.73"
"814","7.52"
"815","7.18"
"816","2.37"
"817","0.81"
"818","6.37"
"819","0.9"
"820","5.75"
"821","6.49"
"822","4.29"
"823","5.13"
"824","3.41"
"825","7.67"
"826","1.04"
"827","6.04"
"828","3.09"
"829","7.26"
"830","0.49"
"831","4.98"
"832","0.56"
"833","3.18"
"834","6.39"
"835","3.52"
"836","7.48"
"837","2.61"
"838","8.29"
"839","9.2"
"840","2.48"
"841","2.69"
"842","1.36"
"843","7.85"
"844","0.33"
"845","0.85"
"846","8.32"
"847","7.41"
"848","4.22"
"849","5.86"
"850","0.4"
"851","5.84"
"852","7.47"
"853","1.12"
"854","2.72"
"855","1.39"
"856","5.37"
"857","3.42"
"858","3.21"
"859","4.81"
"860","9.59"
"861","7.32"
"862","1.79"
"863","5.71"
"864","5.01"
"865","1.81"
"866","9.84"
"867","7.4"
"868","1.7"
"869","5.4"
"870","4.05"
"871","6.47"
"872","3.34"
"873","4.12"
"874","1.83"
"875","6.19"
"876","6.55"
"877","4.82"
"878","2.7"
"879","6.54"
"880","3.62"
"881","8.89"
"882","4.65"
"883","1.42"
"884","9.32"
"885","9.56"
"886","0.13"
"887","8.69"
"888","5.68"
"889","0.93"
"890","3.2"
"891","6.77"
"892","7.5"
"893","8.49"
"894","0.45"
"895","9.63"
"896","3.99"
"897","4.16"
"898","0.76"
"899","5.4"
"900","3.92"
"901","3.4"
"902","6.06"
"903","8.4"
"904","4.58"
"905","7.9"
"906","8.39"
"907","5.21"
"908","6.83"
"909","8.19"
"910","0.82"
"911","4.8"
"912","1.6"
"913","1.58"
"914","9.67"
"915","9.48"
"916","4.64"
"917","1.85"
"918","5.73"
"919","0.73"
"920","8.84"
"921","6.17"
"922","0.91"
"923","2.02"
"924","2.75"
"925","9.86"
"926","2.23"
"927","6.85"
"928","0.71"
"929","8.81"
"930","3.76"
"931","2.14"
"932","1.55"
"933","8.29"
"934","2.47"
"935","5.86"
"936","4.76"
"937","6.2"
"938","1.75"
"939","8.24"
"940","1.24"
"941","4.35"
"942","0.32"
"943","0.53"
"944","2.59"
"945","8.51"
"946","3.98"
"947","5.61"
"948","1.83"
"949","0.76"
"950","2.56"
"951","9.55"
"952","1.88"
"953","4.7"
"954","8.89"
"955","8.64"
"956","4.67"
"957","0.04"
"958","6.96"
"959","5.68"
"960","2.28"
"961","9.4"
"962","7.96"
"963","1.26"
"964","1.69"
"965","5.36"
"966","0.92"
"967","4.31"
"968","1.36"
"969","0.71"
"970","2.45"
"971","6.88"
"972","6.8"
"973","7.69"
"974","4.91"
"975","8.87"
"976","9.45"
"977","2.07"
"978","0.95"
"979","6.68"
"980","6.52"
"981","4.25"
"982","4.33"
"983","9.73"
"984","7.22"
"985","9.62"
"986","6.85"
"987","6.29"
"988","2.55"
"989","5.03"
"990","3.06"
"991","3.04"
"992","5.08"
"993","1.72"
"994","9.52"
"995","2.85"
"996","3.65"
"997","8.93"
"998","2.7"
"999","0.25"
"1000","0.49"
"1001","3.65"
"1002","9.19"
"1003","9.03"
"1004","8.22"
"1005","7.73"
"1006","4.78"
"1007","2.39"
"1008","1.45"
"1009","1.52"
"1010","0.28"
"1011","8.38"
"1012","7.31"
"1013","3.1"
"1014","5.35"
"1015","1.37"
"1016","4.47"
"1017","7.35"
"1018","3.49"
"1019","8.98"
"1020","5.76"
"1021","9.61"
"1022","2.53"
"1023","1.34"
"1024","9.99"
"1025","2.52"
"1026","4.31"
"1027","5.99"
"1028","0.53"
"1029","1.22"
"1030","4.07"
"1031","1.88"
"1032","0.72"
"1033","9.35"
"1034","9.56"
"1035","7.22"
"1036","5.41"
"1037","7.74"
"1038","0.38"
"1039","5.87"
"1040","8.94"
"1041","9.56"
"1042","0.04"
"1043","5.03"
"1044","1.64"
"1045","9.98"
"1046","0.23"
"1047","0.11"
"1048","8.78"
"1049","0.67"
"1050","5.63"
"1051","3.38"
"1052","0.39"
"1053","3.26"
"1054","2.71"
"1055","1.54"
"1056","5.88"
"1057","2.07"
"1058","9.9"
"1059","2.83"
"1060","2.83"
"1061","5.65"
"1062","2.63"
"1063","7.57"
"1064","8.69"
"1065","2.51"
"1066","4.81"
"1067","3.6"
"1068","8.72"
"1069","1.11"
"1070","9.56"
"1071","0.91"
"1072","8.35"
"1073","2.93"
"1074","3.25"
"1075","6.95"
"1076","5.6"
"1077","7.5"
"1078","6.39"
"1079","0.67"
"1080","1.22"
"1081","9.73"
"1082","1.48"
"1083","3.6"
"1084","2.22"
"1085","9.16"
"1086","4.22"
"1087","5.89"
"1088","3.75"
"1089","8.66"
"1090","0.46"
"1091","3.92"
"1092","9.39"
"1093","4.4"
"1094","1.81"
"1095","9.06"
"1096","4.97"
"1097","7.73"
"1098","1.21"
"1099","7.44"
"1100","5.91"
"1101","4.47"
"1102","9.86"
"1103","0.19"
"1104","1.25"
"1105","8.59"
"1106","4.44"
"1107","1.58"
"1108","1.56"
"1109","9.24"
"1110","0.99"
"1111","3.03"
"1112","6.61"
"1113","0.72"
"1114","8.21"
"1115","2.32"
"1116","5.66"
"1117","3.52"
"1118","6.79"
"1119","8.77"
"1120","6.09"
"1121","4.06"
"1122","7.24"
"1123","4.48"
"1124","9.34"
"1125","2.76"
"1126","3.53"
"1127","6.61"
"1128","0.35"
"1129","1.76"
"1130","6.83"
"1131","7.77"
"1132","3.68"
"1133","6.5"
"1134","3.69"
"1135","9.99"
"1136","6.08"
"1137","8.07"
"1138","6.87"
"1139","0.61"
"1140","5.37"
"1141","1.21"
"1142","8.88"
"1143","9.91"
"1144","4.82"
"1145","0.67"
"1146","4.21"
"1147","6.3"
"1148","3.95"
"1149","4.66"
"1150","4.95"
"1151","7.45"
"1152","4.25"
"1153","2.08"
"1154","6.14"
"1155","9.13"
"1156","9.84"
"1157","8.93"
"1158","0.86"
"1159","1.21"
"1160","1.6"
"1161","9.8"
"1162","8.87"
"1163","1.66"
"1164","1.25"
"1165","7.09"
"1166","6.71"
"1167","7.21"
"1168","6.1"
"1169","2.15"
"1170","6.1"
"1171","6.07"
"1172","5.43"
"1173","0.49"
"1174","6.4"
"1175","4.16"
"1176","1.27"
"1177","8.59"
"1178","7.8"
"1179","7.29"
"1180","9.13"
"1181","8.75"
"1182","0.48"
"1183","4.31"
"1184","7.21"
"1185","4.8"
"1186","6.29"
"1187","6.98"
"1188","3.8"
"1189","8.91"
"1190","9.84"
"1191","7.68"
"1192","6.12"
"1193","1.47"
"1194","1.65"
"1195","1.18"
"1196","6.19"
"1197","8.16"
"1198","3.36"
"1199","7.82"
"1200","0.68"
"1201","5.93"
"1202","6.96"
"1203","2.26"
"1204","6.17"
"1205","8.99"
"1206","2.18"
"1207","1.13"
"1208","3.03"
"1209","8.68"
"1210","8.39"
"1211","9.9"
"1212","7.24"
"1213","0.7"
"1214","4.59"
"1215","9.38"
"1216","3.94"
"1217","5.81"
"1218","0.86"
"1219","5.54"
"1220","5.17"
"1221","7.57"
"1222","1.51"
"1223","1.08"
"1224","4.74"
"1225","2.69"
"1226","9.27"
"1227","9.88"
"1228","8.47"
"1229","1.85"
"1230","1.6"
"1231","5.52"
"1232","2.55"
"1233","8.42"
"1234","8.72"
"1235","3.35"
"1236","0.59"
"1237","7.98"
"1238","2.55"
"1239","9.79"
"1240","8.84"
"1241","4.74"
"1242","8.13"
"1243","9.27"
"1244","8.74"
"1245","5.58"
"1246","6.39"
"1247","7.02"
"1248","4.67"
"1249","5.9"
"1250","4.44"
"1251","0.58"
"1252","0.65"
"1253","6.69"
"1254","3.53"
"1255","6.52"
"1256","0.44"
"1257","7.18"
"1258","3.54"
"1259","2.93"
"1260","4.69"
"1261","7.29"
"1262","9.44"
"1263","6.4"
"1264","9.91"
"1265","1.29"
"1266","6.07"
"1267","2.08"
"1268","3.17"
"1269","8.48"
"1270","8.27"
"1271","4.67"
"1272","7.18"
"1273","9.0"
"1274","9.66"
"1275","4.68"
"1276","1.78"
"1277","7.61"
"1278","5.3"
"1279","5.58"
"1280","4.9"
"1281","5.16"
"1282","1.04"
"1283","7.37"
"1284","5.69"
"1285","6.93"
"1286","8.19"
"1287","8.54"
"1288","9.68"
"1289","4.59"
"1290","4.46"
"1291","0.72"
"1292","1.93"
"1293","9.56"
"1294","3.34"
"1295","4.28"
"1296","1.08"
"1297","0.79"
"1298","7.02"
"1299","2.98"
"1300","4.17"
"1301","9.18"
"1302","5.9"
"1303","7.91"
"1304","0.87"
"1305","2.65"
"1306","4.48"
"1307","9.06"
"1308","1.2"
"1309","4.68"
"1310","0.87"
"1311","4.12"
"1312","5.83"
"1313","0.69"
"1314","8.77"
"1315","3.09"
"1316","4.56"
"1317","4.84"
"1318","6.27"
"1319","5.23"
"1320","7.52"
"1321","1.91"
"1322","7.93"
"1323","1.55"
"1324","1.85"
"1325","4.34"
"1326","6.1"
"1327","5.8"
"1328","2.46"
"1329","2.51"
"1330","4.65"
"1331","8.74"
"1332","5.22"
"1333","6.82"
"1334","8.58"
"1335","5.26"
"1336","5.34"
"1337","5.3"
"1338","1.28"
"1339","8.94"
"1340","9.62"
"1341","6.01"
"1342","8.41"
"1343","5.13"
"1344","8.06"
"1345","2.62"
"1346","3.16"
"1347","1.22"
"1348","1.76"
"1349","8.33"
"1350","1.05"
"1351","8.51"
"1352","1.51"
"1353","0.69"
"1354","2.68"
"1355","5.78"
"1356","7.86"
"1357","4.88"
"1358","8.54"
"1359","6.15"
"1360","2.95"
"1361","9.52"
"1362","2.67"
"1363","5.93"
"1364","5.15"
"1365","4.5"
"1366","6.0"
"1367","1.73"
"1368","8.16"
"1369","1.75"
"1370","0.64"
"1371","8.93"
"1372","5.43"
"1373","8.13"
"1374","2.99"
"1375","0.95"
"1376","0.78"
"1377","5.29"
"1378","2.66"
"1379","5.38"
"1380","2.48"
"1381","3.86"
"1382","5.26"
"1383","9.6"
"1384","3.44"
"1385","9.75"
"1386","0.86"
"1387","7.91"
"1388","7.47"
"1389","3.02"
"1390","7.3"
"1391","4.26"
"1392","8.18"
"1393","2.22"
"1394","9.42"
"1395","0.55"
"1396","6.79"
"1397","9.46"
"1398","7.88"
"1399","8.08"
"1400","2.05"
"1401","4.7"
"1402","9.56"
"1403","8.07"
"1404","6.75"
"1405","8.29"
"1406","1.19"
"1407","2.94"
"1408","9.9"
"1409","6.49"
"1410","5.03"
"1411","1.24"
"1412","9.13"
"1413","3.89"
"1414","8.29"
"1415","4.85"
"1416","0.67"
"1417","8.23"
"1418","5.55"
"1419","5.91"
"1420","1.76"
"1421","3.23"
"1422","6.22"
"1423","7.31"
"1424","9.44"
"1425","5.61"
"1426","8.85"
"1427","9.32"
"1428","0.55"
"1429","3.96"
"1430","7.06"
"1431","4.41"
"1432","8.93"
"1433","1.06"
"1434","0.6"
"1435","0.73"
"1436","6.32"
"1437","0.12"
"1438","1.63"
"1439","9.01"
"1440","6.2"
"1441","5.54"
"1442","8.17"
"1443","2.06"
"1444","5.43"
"1445","4.5"
"1446","7.66"
"1447","9.63"
"1448","8.41"
"1449","9.11"
"1450","5.07"
"1451","0.78"
"1452","8.23"
"1453","9.43"
"1454","2.48"
"1455","6.99"
"1456","3.45"
"1457","5.08"
"1458","3.64"
"1459","6.64"
"1460","8.77"
"1461","9.26"
"1462","9.22"
"1463","5.42"
"1464","2.31"
"1465","6.01"
"1466","4.64"
"1467","2.29"
"1468","1.29"
"1469","0.36"
"1470","6.68"
"1471","8.22"
"1472","4.63"
"1473","3.56"
"1474","9.79"
"1475","2.97"
"1476","1.47"
"1477","3.37"
"1478","5.92"
"1479","2.5"
"1480","7.83"
"1481","3.2"
"1482","2.92"
"1483","9.24"
"1484","2.82"
"1485","9.34"
"1486","2.37"
"1487","0.73"
"1488","5.28"
"1489","4.85"
"1490","4.77"
"1491","2.19"
"1492","2.78"
"1493","5.85"
"1494","7.18"
"1495","9.73"
"1496","5.9"
"1497","0.67"
"1498","1.49"
"1499","3.54"
"1500","4.02"
